P18	CDKN2C
RIPK1	TRAF2, TNFR1, TRADD, FADD, RIPK3, ZBP1, TRADD, IKBKG, TRADD, RIPK3, TRADD, TRAF2, FADD, RIPK3, APAF1, BIRC2, CA11, CFLAR, CRADD, RIPK2, RIPK3, RNF11, RNF216, TNFRSF1A, TRADD, TRAF2
RANTES	CCL5
BGP1	CEACAM1
APOAV	APOA5
CAGB	S100A9
CP1B	CYP1B1
GLC3A	CYP1B1
P2X7	P2RX7
TNFRSF8	CD30
VEGFR-1	VEGFR1
APBB1	APLP2, TFCP2, LRP1
ERCC6	ATPase, helicase, P53, DCLRE1A
FANCD2	FANCA, FANCB, FANCC, BRCA2, FANCE, FANCF, FANCG, FANCL, CHEK2, BRCA1, RAD51, RAD51L1, RAD51C, RAD51L3, XRCC2, RAD51, BRCA1, BRCA2, FANCA, FANCF, FANCG, FAN1, FAN1, BRCA1, FANCI, BARD1, BRCA1, BRCA2, FANCE, HTATIP, MEN1
G6PC	G6PC2, G6PC3
GRIA1	DLG1, EPB41L2, GRID2
GTF2I	HDAC3, MAPK3, PRKG1
ING1	COL4A2, RAB20, CARS2, DMAP1, HDAC1, P53, PCNA, SAP30, SIN3A, SMARCA4, SMARCC1
PSMA7	ALS, c-Jun, c-Myc, STAT3, NOD1, HIF1A, PLK1
PSMB5	PSMB9, PSMB10, PSMB8, ALS, c-Jun, c-Myc, STAT3, PSMA1
PSMC1	PSMC2, PSMC4, PSMC6, PSMC3, PSMC5, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC2, PSMC3, PSMC4, PSMC5, ADRM1, ALS, c-Jun, c-Myc, STAT3, PSMD2, PSMC2
S100A1	ATP2A2, MYH7, ACTA1, S100B, TNNI3, PGM1, S100B, S100A4, TRPM3, RYR2, ATP2A2, PLB, RYR1
TNFAIP3	TNIP1, TRAF1, TRAF2, IKBKG, TAX1BP1, YWHAB, YWHAZ, TRAF6, YWHAH
PDCD6IP	PDCD6
PSME3	P53
PYCARD	MEFV
ATP2B4	CASK
CUTL1	F2RL1, MMP10, IL1A, PTGS2, PIK3IP1, GOLGA5, SATB1, MAGEA10, RAB30, HLA-DQA1, STX6, WDR83, SLC39A4, LAMP1, POTEB, SLC39A12
KCNA5	KCNA6, DLG4
PITX2	NODAL, GDF1, PAX3, PAX3, ABCB1
PSMA2	ALS, c-Jun, c-Myc, STAT3
PSMC4	PSMC2, PSMC1, PSMC6, PSMC3, PSMC5, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC2, PSMC3, PSMC5, ADRM1, ADRM1, PSMD4, PSMC2, PSMC5, PSMD10, PSMD13
PSMD7	ATPase, PSMD2, PSMD1, PSMD4, ALS, c-Jun, c-Myc, STAT3
RAC2	ARHGDIA
RALA	RALB, EXOC8, GLUT4, EXOC8, RALBP1
S100A10	SCN10A, TRPV5, TRPV6, KCNK3, ACCN2, TRPV5, TRPV6, KCNK3, ACCN2, KCNK3
SCNN1A	SCNN1B, SCNN1G, SCNN1D, SCNN1B, SCNN1G, NEDD4L, NEDD4
SNRPB	DDX20
DYRK1A	WDR68
ERCC5	ERCC2
HSPA9	FGF1, P53
PRKAB1	PRKAG2, PRKAG1
PRKAR2B	AKAP11
PSME2	PSME1
UBTF	TAF1C, TAF1
DYNLL1	BCL2L11, DLG4, DLGAP1, DYNC1I1, MYO5A, NRF1, PAK1, TP53BP1
RIPK2	BIRC2
MAP3K14	TRAF2, CHUK, IKK2, TRAF2
STUB1	ATPase, HSPA8, DNAJB1, HSPA1A, HSPA4, HSPA8, RUNX2
DKK1	LRP6, LRP6, KREMEN1
WWOX	P53, TNK2
CHI3L1	AKT, NFIX, STAT3, SEMA7A, NLRX1, IL13RA2, LIMK2, NLRX1
DDB1	DDB2, CUL4A, CUL4B, GCN5L2, DDB2, CUL4A, CUL4B, P21
PAX5	IGH@, TLE4
MAP2K7	MAPK8, MAPK9, MAP3K1, MAP3K2, MAP3K3, MAP4K2, MAP2K4, GADD45B, MAPK8, MAPK8IP3, MAPK8IP1, MAP3K12, MAP3K2, MAPK8IP2, DUSP19
SFPQ	PTBP1, NONO, CDC5L
TAF9	GTF2B, TAF9B, HSF1, NF-IL6, NFAT1, GCN5L2, SF3B3, SUPT7L, TAF5, TAF6L, TAF10, TAF12, TAF5L
PSMF1	ATPase
PRKAG2	PRKAB2, PRKAB1
FBXW7	PPARGC1A
KRIT1	ITGB1BP1
EXT1	TRAP1
GRIA2	SPTAN1, PICK1, ADAR, CD34
NEDD9	BCAR1, CD29, BCAR1, BCAR1, VHL, PAX5, STAT5A, CASS4, BCAR1, CASS4, PTK2, PYK2, RAPGEF1, PTPN12, PTP1B, ZNF384, FYN, PP2A, AURKA, CRKL, ID2, LYN, MICAL1, NCK1, RTN1, PTK2
PSMA5	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMB5, PSMD1, PLK1
REG1A	REG1B, REG1P, REG3A
SCNN1G	SCNN1A, SCNN1B, SCNN1D, SCNN1A, SCNN1A, NEDD4, STX1A
RPS6KA5	CREB1
IKZF1	CTBP1, HDAC1, IKZF2, IKZF3, IKZF4, SIN3A, SIN3B, GATA2
PSIP1	POGZ, MEN1
DFFA	DFFB, DFFB
GLRX	ATP7A
PSMB7	PSMB1, PSMB2, PSMB5, PSMB10, PSMB1, PSMB2, PSMB5, ALS, c-Jun, c-Myc, STAT3
PSMC6	PSMC2, PSMC1, PSMC4, PSMC3, PSMC5, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC2, PSMC3, PSMC4, PSMC5, ADRM1, ADRM1, PSMD4
PSMD1	ALS, c-Jun, c-Myc, STAT3, Rpn2
PSMD2	PSMD1, PSMD4, PSMD4, PSMD1, ALS, c-Jun, c-Myc, STAT3, AKT, p21, TNFRSF1A, PSMC1
PSMD11	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMB5, PSMD1
SNAI1	CTDSPL, CTDSP1, CTDSP2
AIFM1	HSPA1A
HIST2H3C	NCOA6
DAZ1	DAZAP2, DAZL
DDX5	AKAP8, DDX17, DHX9, HDAC1, CTCF
DVL1	AXIN1, DVL3, EPS8
GRIK2	DLG1, DLG4, GRID2, GRIK5, PICK1, SDCBP, ADAR, ADAR, ADARB1, ADARB2
GTF2H4	GTF2F1, MED21, POLR2A, XPB
NME2	NME3, HERC5
PPP2R4	PPP2R3A, CCNG1
PSMD8	ALS, c-Jun, c-Myc, STAT3
ST14	SPINT1
TP53BP2	Bcl-2, TP53, TP53, PPP1R13B, BCL2, TP73L, p73
ARHGEF7	GIT1, SHANK1, SHANK2, SHANK3
IFNA2	RIG-I, MDA5, IFNAR
MARCKS	TOB1, NMT2
FOXO4	FOXO1, FOXO3, FOXO6, PI3K, AKT, HER-2, PIN1
RFC1	BRD4, HDAC1, PCNA, RELA, RFC3
RPS6KA2	MAPK3, MAPK1
S100A6	S100B, SUGT1
USF2	PPRC1, BRCA1
BTG2	BTG1, BTG3, BTG4, TOB1, TOB2, BTG1, BTG1, BTG1, CXCL3, PRMT1, HOXB9, CNOT8, HDAC1, HDAC4, HDAC9
GIPC1	GLUT1, ITGA5, ITGA6, KIF1B, LRP1, LRP2, MYO6, RGS19, TPBG, TYRP1, GIPC2, GIPC3
PLCB1	TRPM7
WNK1	NKCC1, OXSR1, SGK1, ROMK, HSN2, WNK2, WNK3, WNK4
ABL2	SORBS2
FANCG	CHEK2, FANCD2, BRCA1, RAD51, RAD51L1, RAD51C, RAD51L3, XRCC2, RAD51, BRCA1, FANCA, FANCB, FANCE, FANCF, FANCL, FANCM, FANCD2, FANCF, FANCA, FANCE, BRCA2
LMAN1	MCFD2
PSMB6	PSMB9, PSMB10, PSMB8, PSMB1, PSMB2, PSMB5, ALS, c-Jun, c-Myc, STAT3
PSMD9	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMB5, PSMD1
IKBKE	TNFA, DDX3X, IRF3, IRF7, IFNB1, IPS-1, AZI2, STAT1, IRF9, STAT2, AKT1
APBA1	KCNJ12, CASK
MAP3K8	AKT1, CHUK, NFKB2, NFKB1, C22orf25, TNIP2
GP1BB	YWHAZ
TYRP1	GIPC1
TUBA1A	PAFAH1B1
TNK2	AKT, WWOX, FYN
DICER1	Dicer
CYP24A1	FGF23
EIF2B5	EIF2B2, EIF2B1
WASF1	BAIAP2
BCAP31	Bcl-2, VAMP3
AKAP13	CTNNAL1, PRKAR2A
GGA2	RABEP1, BACE2, CLINT1
OCA2	HERC2
PDZK1	AKAP10, CLCN3, FARP2, PDZK1IP1, SLC22A12, SLC22A4, SLC34A3
SAFB	HNRPD, SAFB2, TAF15
SOX10	PAX3, MITF, OLIG1, EGR2, POU3F1, FOXD3, SOX2
SULT1A3	SULT1A4
TLE1	HES6, RUNX1, RUNX3, SIX3, TLE2
SMARCA5	RAD21, POLE3, SATB1, BAZ1A
TUBA1B	PIK3R1
ACTL6A	SMARCA2, SMARCA4
AMY1A	AMY2A
KCNA2	KCNA4, DLG4, PTPRA, KCNAB2, RHOA
LAMP1	LAMP2
PSMD3	ALS, c-Jun, c-Myc, STAT3
RANGAP1	UBE2I
RPLP0	RPL10, RPLP1, RPLP2
STXBP1	SYTL4, STX2, STX4, STX1A
TFDP1	TFDP2, E2F1, E2F5, P53
UBE2L3	UBCH5C, CD, 53BP1, ARIH1, ARIH2, CHEK1, NEDD4, SMURF2, TNFAIP3, TNFSF4, TNIP1, TRAF6, UBE3A, UBE3A, UBOX5
PLA2G6	CCL2, BAG3, ARF1, CALM1, HNRNPL
TNFSF12	TNFRSF12A, NFAT1, TNFRSF12A, LCN2
DLK1	ADAM17
AP2A2	EPN1, SHC1
CD48	CD2, CD84, CD150, CD229, CD244, CD2, 2B4, CD244, CD244
CDC27	ANAPC10, ANAPC11, ANAPC1, ANAPC4, ANAPC5, ANAPC7, CDC16, CDC20, CDC23, FZR1, MAD2L1, PIN1
CLIC1	TRAPPC2
GRAP2	GRB2, CCNDBP1, CD28, MAP4K1, STAMBP
AKAP5	GABRB3
HDAC9	HDAC3, BTG2, SIN3A, SUV39H1
PSMD6	ALS, c-Jun, c-Myc, STAT3, PSMD13
RANBP9	DISC1, DYRK1B, HIPK2, MKLN1, S100A7, USP11
SRRM1	CDC5L
BAIAP2	ATN1, CDC42, EPS8, RAC1, SHANK1, WASF1, WASF2
CIB1	RAC3, PSEN2, DNA-PKcs, UBR5, CD61
NFAT5	SLC6A12, SLC5A3, SLC6A6, NFAT1, NFATC1, AKAP13, MAP2K3, MAP2K6, CDC42, RAC1
RALBP1	HSF1, RALA, RALB, REPS2
TOPBP1	E2F1, RAD9A, UBR5, ZBTB17
EYA1	SIX1
GABRB2	TRAK2
HOXB6	homeobox
DNAJB1	HSPA4, STUB1
IFI16	BRCA1
KIR2DL1	HLA-C
MAP1A	DISC1
CD93	CD248
SNW1	NOTCH1, PABPN1, RBPJ
SGK3	GSK3B
PRPF31	PRPF6, NHP2L1
UBQLN1	UBQLN2, UBQLN4, HERPUD1, P4HB, PSEN1, PSEN2, UBE3A, TMCO6
MSR1	HSPA1A
NEK2	MAPK1, NDC80
PAK3	CDC42, RAC1, PAK1
PDK4	PDK1, PDK2, PDK3, PPARGC1A, CREB, RHEB
PPP2R1B	PPP2CA, PPP2CB, PPP2R2A, PPP2R3B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E
PTK6	STAP2, KHDRBS1
RAD52	RAD51, RAD51, RAD51, RAD51L1, RAD51L3, XRCC2, ERCC1, ERCC6, RAD51, RAD51C
RHAG	ANK1
S100A11	RAD51, S100B, RAD54B
TRA2B	RBMX
TAF12	TAF9
TCEA1	GTF2H1, POLR2A
TFE3	E2F3
TPM2	ACTC1, ACTC1, ACTC1, TPM1, TPM1, TNNT2, TPM1, TNNI3, TNNC1, TNNT2, ACTC1, MYH7, TNNC1, TPM1, TPM1, myosin, ATPase, TPM1, ACTC1, RRAD, PDLIM7, TNNT3, TPM1
CDC5L	BZW1, CWC15, DNA-PKcs, DYNC1H1, HSPA8, ILF2, PLRG1, PPM1D, PPP1CA, PRPF19, RBMX, RPL12, RPL13, RPS16, RPS25, SF3A1, SF3B1, SF3B2, SF3B4, SFPQ, SFRS2, SNRPA1, SNRPD3, SRRM1, TOP2A, TTF2
CHRNA1	CHRND
FOSL1	FOSB, FOSL2
ARID1A	ATPase, HBB, SMARCB1, SMARCA4
USO1	GOLGA2, GOSR1, GOSR2, SCFD1, STX5
MED12	PPARGC1A, MED26, SOX9
SEMA3A	NRP1, ALS, SOD1
PIAS3	MITF, GFI1, HMGA2, RELA
NDC80	NUF2, SPC25, SPC24, MIS12, NEK2, PSMC2
YAP1	YES1
CRABP2	CRABP1
DPYSL2	CRMP1
FKBP5	FKBP52
GNAZ	EYA2, RGS20, RGS19
HSD17B4	ACOX1, EHHADH
IGFBP7	VPS24, IGF2
KCNA4	DLG4, KCNA2, DLG1
KIR2DL4	HLA-G
MAP1B	RASSF1
MEIS1	PBX1, HOXA9
MID1	MID2
NPHP1	BCAR1, PTK2B, INVS
ORC2	ORC3, ORC4, ORC5, CDC6, DBF4, MCM10, MCM2, MCM4, MCM5, MCM6, MCM7, ORC1, ORC3, ORC4, ORC5, ORC6
PCSK5	gp160
PLCB2	MAP2K3, TRPM7
BCKDHA	BCKDHB
PPP1R8	PPP1CA, SF3B1
RAD51L1	RAD51C
RALGDS	HRAS, KRAS, MRAS, RAP1A, RAP2A, RAPGEF2, RRAS
CLIP1	IQGAP1, PAFAH1B1
SLC22A4	PDZK1
SMARCC1	BAZ1B, ING1, SIN3A, SMARCA2, SMARCA4, SMARCB1
SNRPD3	CDC5L, CLNS1A, DDX20
SRPK1	SNRP70, C6orf201
TAF4	TFIID
ZEB1	ZEB2
CLDN5	CLDN1, CLDN3
PARD3	JAM2, JAM3, PRKCI, PVRL3
AP1B1	KIF13A, AP1G1
AP2B1	AP1M2, BUB1B, LDLRAP1
PLK3	CDC25C, CHEK2, P53
CLDN3	CLDN1, CLDN5
CUL5	SOCS, DAB1, RBX1
FXR1	FXR2, FMR1, CYFIP2
USP9Y	peptidase
FLOT1	SORBS1
SF3A1	SF3A3, CDC5L
SYNCRIP	APOBEC1, SYT7, SYT9
SORBS1	SORBS2, SORBS3, FLOT1, FLOT1, INPPL1, INSM1, MLLT4, PXN
SUB1	CSTF2
PPP1R1B	PPP1CA, ARPP-21
DSCR1	VEGF, ITSN1, PACAP
EEF1B2	EEF1G, HARS
MARK2	AKT1
ERCC4	ERCC1, PMS2, ERCC1, PMS2, ERCC1
FGF10	FGF7
GYPB	GYPA
HOXD10	homeobox
IRF4	BCL6, NFATC2, SPI1, STAT6
LRP6	LRP5, LRP5, GSK3B, DKK1
MCM5	MCM2, MCM3, MCM7, ORC2L, ORC6L, STAT1
NCOA6	ASCL2, DNA-PKcs, E2F1, EP300, HBXIP, HIST2H3C, HSF1, MLL3, RBBP5, TGS1, TUBA4A, TUBB
MAP3K7IP2	MAP3K7, MAP3K7, MAPK8, JNK, TRAF6, MAP3K7, MAP3K7IP1, MAP3K7, TRAF6, TNFSF11, RANKL, TNFRSF11A, RANK, HDAC3, MAP3K7IP1, MAP3K7IP3, MAP3K7, NFKB1, NUMBL, TRAF2, TRAF6
RBMX	TRA2B, CDC5L
GIT1	ARHGEF7, GIT2, PCLO, PLCG1, PPFIA4, PTK2
MYH10	MYL6, MYL9, MYL9, myosin, myosin, MYH7, myosin, MYL9, MYL9, MYLK, MYH6, MYL6, MYL9
PDE4A	PDE4
PFKM	PFKL, PFKP, PFKL, PFK-1, PFK1, ATP6V0A4, PFK-1, PFKL, PFKP
PLAGL1	P53
PTPRE	KCNB1
RRAS	ARAF, Bcl-2, NCK1, RALGDS, RASSF5
ANGPTL4	CLDN5
SH3GL2	DNM1, ADAM9, SH3KBP1, ADAM15
SLAMF1	PTPN11, SH2D1A, SH2D1B
ZBTB17	TOPBP1
PEA15	FADD, MAPK1, RPS6KA3
ADAM9	MAD2L2, SH3GL2, SNX9
SCYE1	SMURF2
COPS2	DAX1, IRF8, NIF3L1
MDC1	H2AFX, H2AFX, MDM2, CHEK2, H2AX, H2AFX, NBS1, RAD51, RNF8, TOP2A, MDM2, CHEK2, RAD51, NBS1, TOP2A, MDM2, AKT1, AKT1, AKT1, YES2
SRA1	DDX17, SPEN
AMY2A	AMY1A
APOBEC1	A1CF, BAG4, SYNCRIP
CHD3	HDAC1, SERBP1
CRYBB2	CRYGC, CRYAA, CRYAB
CYP2J2	CYP2C8, CYP2C9, CYP2S1
TIMM8A	TIMM23, SLC25A12, SLC25A13, TIMM13, TIMM13, TIMM22
FNTB	FNTA
HOXA5	homeobox, AKT1, CTCF, DNMT
HES1	HEY1, HEY2, ASCL1, TLE2, FGF5, RBPJ, DLL1, JAG1, PTF1A, ATOH1
STAM2	USP8
RTN3	RTN1
KLF2	EKLF, HBE1, HBG1, HBE1, MAPK7, PI3K, RELA, RELA, EP300, VCAM1, SELE, THBD, NOS3, VEGFR2, S1PR1, EKLF
RNPS1	SART3
CD2AP	NPHS2, RAB4A
POT1	TINF2
UPF2	UPF1, UPF3A, UPF3B
ARHGDIA	CDC42, RAC1, RHOA
KCNJ6	KCNJ9, DLG1
LGALS3BP	LGALS3
MEF2D	CABIN1, EP300, MAPK7, NFATC2, YWHAQ
MSH3	MSH2, MSH6, PCNA, BRCA1, DHFR
GADD45B	MAP3K4, ASK1, GADD45GIP1, MAP2K7, MAP3K4
SEPT2	SEPT6, SEPT7, SOCS7, NCK1, SEPT6, SEPT7, SEPT9
PEPD	peptidase, PTK2
PEX1	ATPase, PEX6, PEX26
PEX19	ABCD1, ABCD2, ABCD3, PEX10, PEX11B, PEX12, PEX13, PEX16, PEX3
RAP2A	RUNDC3A, RASSF5, RALGDS
RFC4	BRD4, CHTF18, PCNA, RFC2, RFC3, RFC5
SATB1	BAZ1A, CHD4, CUTL1, HDAC1, MTA2, POLR2J, SMARCA5
EGLN1	HIF1A
ELAC2	COXPD17
SFRS3	RBM7
SUMO3	ARNTL
TAF10	TAF9, TAF13
ZNF148	PTRF, P53
PABPN1	SNW1
NCK2	NCK1, LIMS1, PDGFRB, PTK2
BECN1	Bcl-2, Bcl-2, BCL2L2, GOPC, MAP1LC3A
CDC34	CSNK2B, CDK9
CEBPE	CEBPD
CSTF2	CSTF3, SUB1, SYMPK, BARD1, BRCA1
DSC2	DSG2
LDB1	LMO4, TCF3, TAL1, CBFA2T3
MED14	PPARGC1A, STAT2
HOMER1	HOMER2, HOMER3, SHANK1, CENTG1, RYR1, HOMER2, HOMER3
CHAF1A	CAF-1, CHAF1B, ASF1A, ASF1B, MBD1
AKAP9	PRKCE, PDE4D, CALM2, FNBP1, PRKAR2A, TRIP10
G3BP1	USP10
IRF9	STAT2, STAT1
MAP3K7IP1	MAP3K7IP2, MAP3K7IP3, MAP3K7, MAPK14, TRAF6, XIAP, ZMYND11
DCTN2	MARCKSL1
ARL6IP5	EAAC1, SLC1A1
TXNIP	ZBTB32
APLP1	APLP2, APLP2
FGF8	GBX2, FGF3, FGF17, FGF18, EMX2, EMX2, EMX2
FLNB	GP1BA, FBLIM1, PSEN1, CD29, PSEN2
GFER	homodimer, BNIPL
IGKC	IGK@
IL1RAP	TOLLIP
ITIH1	ITIH2, ITIH3, ITIH4
KTN1	EEF1D, RHOA
SCRIB	DLGAP5, LLGL1, DLGAP5, LLGL1, myosin, GIT1, ARF6, UBE3A, DLGAP5, LLGL1
KLK5	KLK7, KLK14
PCBD1	DYRK1B, HNF1A
POU2AF1	POU2F1, SIAH1
HTRA1	CARASIL
PTPRJ	CTNND1
RAD21	SMARCA5
RAD51C	RAD51, RAD51L1, RAD51L3, XRCC2, XRCC3, EZH2, RAD51L1, RAD51L3, XRCC2, XRCC3
REG1B	REG1A, REG1P, REG3A
RFC2	BRD4, CHTF18, PCNA, RFC4, RFC5
RFX1	RFX2, RFX3, RFX4, RFX5
BRD2	BRD3, BRD4, BRDT, E2F2, GATA1
PARD6A	CDC42, ECT2, RAC1
HDAC7	HDAC3, p21, HIF-1alpha, BCL6, HDAC3, HTATIP, IKZF1
MMP26	MMP9
GOPC	GRID2, BECN1, RHOQ, ACCN3, CSPG5
SIAH2	PEG10, PEG3, VAV1
SLC1A1	ARL6IP5
SMARCE1	SMARCB1, SMARCA4
SOX4	SDCBP
SYBL1	SNAP23, AP3D1
TAF5	TAF6, TAF9, TAF15
TFAM	TFB1M
UBE2N	HLTF, TRAF2, TRAF6, UBE2V1
VAV2	CD19
CUL2	CAND1, DCUN1D1, RBX1, SAP130, TCEB2
PPM1D	MAPK1, CDC5L
EIF2B2	EIF2B5, NCK1
RASSF5	RRAS, RAP2A, MRAS, RASSF1
HIST1H2BK	HIRA
ADD2	FYN
CKMT1B	CKMT2, CKMT1A
CRYGC	CRYBB2, CRYAA, CRYAB
CYTH1	CYTH2, ARFRP1, CD18, TRIM23
TRIP10	STAT3, CDC42, AKAP9, RHOQ
KIF23	PRC1, 14-3-3, ARF3, BIRC6, PRC1
GIT2	GIT1
SETDB1	TRIM28
PAK4	CDC42, LIMK1
TCIRG1	CTLA4, SHP-1, STAT4, ZAP70, CTLA-4
FBLN5	LOXL1
PDPN	mucin
CUGBP1	CEBPD
SEPT9	SEPT2, SEPT7, AHNAK, S100A11
DDX20	ATPase, EIF2C2, GEMIN4, GEMIN5, LSM2, SMN1, SNRPB, SNRPD3, SNRPG
ARF3	ARFIP1, ARFIP2, GGA1, GGA3, KIF23
DUSP6	MAPK1, MAPK3
ECT2	PARD6A
EPS8	ABI1, BAIAP2, DVL1, SHC1, SOS1
HHEX	homeobox
HMGN1	YWHAZ
EIF6	ITGB4, FHL2, ITGB4, GNB2L1
MAPRE1	TERF1
KIF1B	GIPC1
PPP1R15A	ATF4, BAG1, LYN, PPP1CA, PPP1CB, PPP1CC, SMARCB1
PRDX5	GATA1
EIF2C2	DICER1, DDX20, DICER1, FMR1, FXR1, FXR2, TNRC6B
HTATSF1	SUPT5H, GTF2F2
ASIC1	PICK1
PRDM1	homeobox
PDE6B	PDE6A, PDE6G
POLD1	POLD3, POLD2, POLD4, E2F1, p21, P53, FOXO3, GINS1, MMS19, PVT1, RNF8, LMO2, CHEK1, KRAS
PPP2R3A	CDC6, PPP2R4
PPP2R5D	HAND2, PPP2CA, PPP2R1B
RAB1A	GOLGA2, GOLGA5, MICAL1, RABAC1
SMARCC2	BAZ1B, SMARCA4
TFCP2	MTDH, MMP9, APBB1, RNF2
RAE1	NUP98
PLCE1	RHOA, RHOB, GNA12, GNA13, HRAS, LIMS1
MBD3	MECP2, MBD1, MBD2, MBD4, GATAD2B, HDAC1, MTA2
SMURF1	ARHGEF9, PLEKHO1, SMURF2
CLEC7A	TNF
TNFAIP6	TSG-6
USP7	MDM4, FOXO4, MARCH7, UVSSA, CLSPN, P53
RDBP	TH1L, WHSC2
STX7	STX8, VPS18, VPS11
EIF3A	DISC1, EIF3B, EIF3C, EIF3D, EIF3EIP, EIF3F, EIF3G, EIF3H, EIF3I, EIF3J, EIF3K, EIF3S6, EIF4B, EIF4G2, FBXO32
TRIM24	TRIM33
SAP30	SIN3A, SAP18, HDAC1, HDAC2, RBBP7, RBBP4, SAP30L, HDAC1, ING1, RBBP4, RBBP7, SIN3A, YY1
DOK2	INPP5D
SART1	snRNP
PRPF3	DVL3
CTDP1	GTF2F1, POLR2A
NRXN1	NRXN3, NLGN1
EIF2AK3	EIF2, DNAJC3, NFE2L2
MED24	BRCA1
DNM1L	FIS1, GSK3B, PPARGC1A
ACTR1A	DCTN1, DCTN4, SPTBN2
STX6	SNAP23, VAMP3, VAMP4
NDEL1	YWHAE, PAFAH1B1, DISC1
JAM3	PARD3
CHD4	HDAC1, MTA2, SATB1
CYP2C18	CYP2C9, CYP2J2, CYP2S1
DMP1	DSPP, MEPE
DYNC1H1	PAFAH1B1, CDC5L
EEF1G	EEF1B2, EEF1D, HARS, LZTS1, RECQL5
EPHA8	FYN
MECOM	RPN1, CTBP1, HDAC1, PCAF
FABP5	S100A7
FOXM1	PLK1, NEK2, CENPF
TNIP1	TNFAIP3, MAPK1
SEMA4D	PLXNB1, CD72
STAMBP	RNF11, GRAP2
GADD45G	JNK, MEKK4, PCNA, p21, GADD45A, p21, MAP3K4, PCNA, GADD45, GADD45A, GADD45B, GADD45B, GADD45A, GADD45, GADD45A, GADD45B
MORF4L1	MYST1, MRFAP1
APBA2	CLSTN1, RELA
HMOX2	HMOX1
DNAJA1	PTTG1
HSPB2	CRYAB, HSPB8, TRAF6
INCENP	CENPA, RCC1, KIF2C, KIF22, DYNC1H1, CLIP1, CENPF, CDCA8, proteins, H2AFZ, CDCA8
ITIH2	ITIH1, ITIH3, ITIH4
KCNJ4	CASK, DLG1, DLG4, LIN7B, LIN7C
RHOQ	EXOC7, GOPC, PARD6B, CDC42EP2, TRIP10, CDC42EP3
SF3B1	CDC5L, DDX42, PPP1R8, SF3B2, SF3B3, SF3B14
FBXO5	CDC20, FZR1
PDCD4	MIRN21, RPS13
LAIR1	PTPN11, PTPN6
MT-CYB	UQCRC1, UQCRC2, UQCRFS1, UQCRB, UQCRH, CYC1, UQCRFS1, UQCRC1, UQCRC2, UQCRH, QCR6, UQCRB, QCR7, UQCRQ, QCR8, UQCR10, QCR9, UQCR11, QCR10, UQCRFS1
NFATC4	LCN2
PIGA	PIGQ
PLXNB1	ARHGEF12, ARHGEF11
SEPT5	SEPT8
MAP2K5	MAPK7, MAP3K2, MAP3K3
RFC3	BRD4, CHTF18, PCNA, RFC1, RFC4
DMAP1	C19orf2, DNMT1, ING1, RGS6
NDRG2	N-myc
TRIM27	PRAM1, EIF3S6
RGS16	GNAQ, GNAI3
RNF2	TFCP2, HIP2
SFRS6	SFRS12
SIM2	SIM1
SSX2	SSX1
TRIP6	LPAR2, BCAR1, HOXA9
WIPF1	NCK1, myosin
TCL1A	AKT1, AKT2
FIP1L1	PAPOLA, CPSF1, PDGFRA, CPSF1, PDGFRA, STAT5
CD7	PIK3R1
CDKN2D	INK4, CDK4, CDK6, CDKN2A
SORBS2	SORBS1, SORBS3, FLOT1, ABL1, FLOT1, FLOT1, FLOT1, PDLIM5, ABL2, ACTC1, FLOT1, PTK2B, PLDN
TNKS	AXIN1, AXIN2, RNF146, BLZF1, CASC3, RNF146, TERF1, HEPACAM, SLC2A4, NUMA1, FNBP1, MCL1, TERF1, TNKS1BP1
HYAL2	CD44
EIF2S2	EIF2S1, EIF2S3, NRF1
LGI1	ADAM22, DLG4
DLG5	SORBS3
BAG3	ATPase, BAG1, BAG2, YAP1, WWTR1, FGFR1, CD117, CD31, CISH, FLT1, GAB1, GIT1, IRS2, KHDRBS1, PDGFRA, PLD2, RHOA, SOS1, VAV1
ARPC1B	PAK1
RGS19	GNAO1, GIPC1, OSTM1, GNAI1, GNAI3, GNAZ
DLC1	RHOA, Bcl-2, PTK2, HDAC
DDX17	DDX5, DHX9, HDAC1
CKS1B	SKP2, CDKN1B
DDX3X	helicase, DHX29
EIF2B1	EIF2B5
FGF9	SOX9, FGF18, VEGF, VEGFR2, GDF5
GNB5	GNG7, GNG13, RGS7, RGS9
PRDX3	MAP3K13
SF3A3	SF3A1
FNBP1	AKAP9, DNM1, SNX2, TNKS
NFASC	L1CAM
FYB	FYN, SKAP1
HOXC8	homeobox
HSPA1L	HSPA1A, HSPA1B, PARK2
ITIH3	ITIH1, ITIH2, ITIH4
KCNA3	KCNA2, KCNA10, KCNN4, TMEM142A, GAD2, PAP-1
KIF5B	KLC1, KLC2, SNAP-25, SNAP23, YWHAH
TINF2	POT1, TERF1
ACOX1	ACOX3
RAB8A	MAP4K2
